========================================================
  UzMAX Local MVP -> http://127.0.0.1:5000
  Medicine AI + Robot Control (HAND/HEAD/MOVE)
========================================================
INFO:     127.0.0.1:55689 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:63254 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:60154 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:54886 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:61331 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:58822 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:59236 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:51418 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:64214 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:59475 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:52226 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:57906 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:61877 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:65327 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:56615 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:60875 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:49401 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:64608 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:51110 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:61610 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:56455 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:52724 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:63143 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:63989 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:62359 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:54884 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:50790 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:49543 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:57160 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:54164 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:61460 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:63306 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:52247 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:64055 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:56603 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:54376 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:55631 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:56955 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:50002 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:51628 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:60925 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:63999 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:52343 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:57498 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:55301 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:61095 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:55812 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:64109 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:63656 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:63656 - "POST /api/move/command HTTP/1.1" 200 OK
INFO:     127.0.0.1:61230 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:61230 - "POST /api/move/command HTTP/1.1" 200 OK
INFO:     127.0.0.1:61230 - "POST /api/move/command HTTP/1.1" 200 OK
INFO:     127.0.0.1:61230 - "POST /api/move/command HTTP/1.1" 200 OK
INFO:     127.0.0.1:61230 - "POST /api/move/command HTTP/1.1" 200 OK
INFO:     127.0.0.1:61230 - "POST /api/move/command HTTP/1.1" 200 OK
INFO:     127.0.0.1:61230 - "POST /api/move/command HTTP/1.1" 200 OK
INFO:     127.0.0.1:61230 - "POST /api/move/command HTTP/1.1" 200 OK
INFO:     127.0.0.1:61230 - "POST /api/move/command HTTP/1.1" 200 OK
INFO:     127.0.0.1:61230 - "POST /api/move/command HTTP/1.1" 200 OK
INFO:     127.0.0.1:61230 - "POST /api/move/command HTTP/1.1" 200 OK
INFO:     127.0.0.1:61230 - "POST /api/move/command HTTP/1.1" 200 OK
INFO:     127.0.0.1:61230 - "POST /api/move/command HTTP/1.1" 200 OK
INFO:     127.0.0.1:61230 - "POST /api/move/command HTTP/1.1" 200 OK
INFO:     127.0.0.1:61230 - "POST /api/move/command HTTP/1.1" 200 OK
INFO:     127.0.0.1:61230 - "POST /api/move/command HTTP/1.1" 200 OK
INFO:     127.0.0.1:61230 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:59363 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:50356 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:64025 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:60524 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:56029 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:63187 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:63187 - "GET / HTTP/1.1" 200 OK
INFO:     127.0.0.1:63187 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:63187 - "GET /api/settings HTTP/1.1" 200 OK
INFO:     127.0.0.1:54201 - "GET /api/ports HTTP/1.1" 200 OK
INFO:     127.0.0.1:51987 - "GET / HTTP/1.1" 200 OK
INFO:     127.0.0.1:57569 - "GET / HTTP/1.1" 200 OK
INFO:     127.0.0.1:57569 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:57569 - "GET /api/settings HTTP/1.1" 200 OK
INFO:     127.0.0.1:50658 - "GET /api/ports HTTP/1.1" 200 OK
INFO:     127.0.0.1:50658 - "GET / HTTP/1.1" 200 OK
INFO:     127.0.0.1:50658 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:50658 - "GET /api/settings HTTP/1.1" 200 OK
INFO:     127.0.0.1:57569 - "GET /api/ports HTTP/1.1" 200 OK
INFO:     127.0.0.1:57569 - "POST /api/move/command HTTP/1.1" 200 OK
INFO:     127.0.0.1:57569 - "POST /api/move/command HTTP/1.1" 200 OK
INFO:     127.0.0.1:57569 - "POST /api/move/command HTTP/1.1" 200 OK
INFO:     127.0.0.1:57569 - "POST /api/move/command HTTP/1.1" 200 OK
INFO:     127.0.0.1:57569 - "POST /api/move/command HTTP/1.1" 200 OK
INFO:     127.0.0.1:57569 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:57569 - "POST /api/move/command HTTP/1.1" 200 OK
INFO:     127.0.0.1:57569 - "POST /api/move/command HTTP/1.1" 200 OK
INFO:     127.0.0.1:62767 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:56333 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:59152 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:54620 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:58676 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:57917 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:50321 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:60292 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:64096 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:53183 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:60638 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:60638 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:64521 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:64521 - "GET / HTTP/1.1" 200 OK
INFO:     127.0.0.1:64521 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:52784 - "GET /api/settings HTTP/1.1" 200 OK
INFO:     127.0.0.1:60624 - "GET /api/ports HTTP/1.1" 200 OK
INFO:     127.0.0.1:60624 - "POST /api/move/command HTTP/1.1" 200 OK
INFO:     127.0.0.1:60624 - "POST /api/move/command HTTP/1.1" 200 OK
INFO:     127.0.0.1:60624 - "POST /api/move/command HTTP/1.1" 200 OK
INFO:     127.0.0.1:60624 - "POST /api/move/command HTTP/1.1" 200 OK
INFO:     127.0.0.1:60624 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:49341 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:62549 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:55476 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:52490 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:52490 - "GET / HTTP/1.1" 200 OK
INFO:     127.0.0.1:52490 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:64086 - "GET /api/settings HTTP/1.1" 200 OK
INFO:     127.0.0.1:54409 - "GET /api/ports HTTP/1.1" 200 OK
INFO:     127.0.0.1:55936 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:65291 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:53095 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:62762 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:54913 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:58798 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:57265 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:49652 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:52985 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:52594 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:50468 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:62542 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:64989 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:64062 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:60992 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:59030 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:54572 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:54196 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:63503 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:64823 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:62169 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:54941 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:53202 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:53243 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:63531 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:53175 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:63538 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:51883 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:63088 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:53664 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:60051 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:60051 - "GET / HTTP/1.1" 200 OK
INFO:     127.0.0.1:60051 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:62824 - "GET /api/settings HTTP/1.1" 200 OK
INFO:     127.0.0.1:63765 - "GET /api/ports HTTP/1.1" 200 OK
INFO:     127.0.0.1:60205 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:58734 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:60667 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:59306 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:52034 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:56688 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:58722 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:64571 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:58690 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:57681 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:65349 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:55988 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:64276 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:55244 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:52560 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:52543 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:59154 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:59478 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:62364 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:65314 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:60286 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:61978 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:49547 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:57464 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:55294 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:51179 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:56160 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:64879 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:65407 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:61082 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:53579 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:54130 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:56315 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:64582 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:60378 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:51715 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:64318 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:59390 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:53160 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:63805 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:52796 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:61652 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:63239 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:63529 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:56929 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:49289 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:62389 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:61008 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:58005 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:59585 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:63845 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:63140 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:63583 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:62382 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:61649 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:57285 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:58979 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:64404 - "GET /api/robot/status HTTP/1.1" 200 OK
